"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,,,1700,1800,1812.5,1905,1797.5,1650,1550,1595,1625,1527.5,1500,1450,1400,1382.5,1350,1350,1350,1325,1325,1350,1350,1400,1400,1450,1400,1400,1395,1395,1395,1395,1350,1350,1350,1350,1395,1596,1650,1682,1605,1660,1695,1600,1550,1495,1577,1551,1500,1500,1595,1686,1695,1731,1750,1725,1750,1795,1799.5,1800,1850,1874.5,1875,1895,1926,1950,1950,1950,1950,2000,1995,2064.5,2100
"Cook","IL","Chicago","17","031",2,,1295,1380,1425,1242.5,1325,1238,1345,1450,1545,1450,1395,1315,1250,1295,1300,1409.5,1350,1300,1311,1300,1390,1456,1350,1300,1327,1450,1575.5,1600,1595,1575,1500,1525,1530,1538.5,1559,1610,1500,1500,1576,1625,1610,1610,1578,1541,1561,1610,1578,1500,1500,1523,1550,1600,1685,1575,1695,1695,1629,1450,1527,1685,1550,1550,1595,1595,1590,1550,1673,1728.5,1800,1690,1600,1700
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179,1100,1155,1290,1300,1300,1260,1299,1315,1250,1250,1250,1270,1300,1308,1330,1350,1325,1335,1354,1338,1440,1425,1445,1415
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,749,772.5,750,795,729,650,650,665,650,650,650,663,667,738,765,769,820,770,760,788,791.5,775,799,836,840,834,850,850,854,825,850,845,845,850,875,881.5,891.5,895,915,902,915,915.5,924,927.5,920,920,1075,1060.5,1060
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,1250,1250,1250,1395,1400,1395,1400,1300,1350,1345,1347.5,1335,1322.5,1300,1275,1275,1250,1260,1275,1295,1295,1295,1395,1395,1395,1455,1349,1350,1377,1300,1325,1483.5,1570,1500,1495,1580,1705,1695,1695,1697.5,1672.5,1700,1746,1725,1735,1788.5,1775,1791,1795,1815,1823,1855,1880,1857,1825,1795,1805,1850
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,2000,1850,1765,1625,1695,1600,1595,1672.5,1695,1695,1612.5,1375,1425,1450,1425,1395,1425,1415,1475,1475,1425,1400,1395,1375,1375,1395,1400,1365,1395,1495,1550,1500,1462.5,1510,1495,1480,1550,1609,1550,1595,1606,1545,1585,1700,1689,1700,1840,1800,1790,1780,1785,1800,1815,1800,1810,1859.5,1920,1915,1929,1930,1945,1920,1925,1920,1928,1921.5,1940,1945,1968.5,1975,1999,2000,2000
"Kings","NY","New York","36","047",7,1550,1625,1800,1775,1900,1695,1600,1600,1525,1500,1500,1550,1600,1650,1700,1700,1775,1795,1800,1750,1700,1750,1800,1875,1850,1900,1950,2000,2000,2181,2175,2100,2050,2000,2000,2000,2000,2000,2000,2100,2200,2300,2395,2400,2300,2300,2300,2250,2200,2250,2250,2300,2400,2300,2350,2400,2400,2400,2375,2350,2400,2400,2500,2600,2500,2500,2500,2500,2500,2500,2495,2450,2450
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,1500,1495,1500,1475,1455,1495,1500,1500,1557,1599,1500,1500,1600,1575,1600,1500,1400,1400,1450,1490,1500,1550,1550,1550,1600,1875,1975,1900,1900,1950,2000,2027,2100,2100,2100,2200,1995,2000,1950,2000,1975,1800,1850,1895,1950,1995,1937,1850,1900,1950,1950,1937,2000,2060,2000,2050,2095.5
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,850,836.5,850,850,900,875,930,1010,950,941,950,1085,1105,1119,1111.5,1139,1264,1246,1235,1280,1244,1255,1221,1200,1186,1200,1275,1285,1275,1250,1236,1251,1249,1250,1249,1268,1299,1279,1295,1305,1305,1350
"Queens","NY","New York","36","081",10,1600,1700,1650,1600,1650,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1595,1600,1600,1600,1595,1575,1595,1600,1600,1600,1600,1650,1650,1675,1700,1750,1750,1750,1700,1700,1700,1700,1700,1675,1700,1795,1900,1900,1950,1960,1900,1950,1935,1900,1900,1950,2095,2100,2070,2000,2000,2000,2000,2000,1999,1980,2000,2000,2000,2050,2100,2150,2100,2100,2100,2100,2100,2100
