"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"California",1,2190,2095,2100,2040,2000,2150,2200,2150,2124.5,2100,2100,1975,1950,1900,1950,1950,1950,1900,1895,1850,1850,1850,1800,1800,1800,1800,1650,1600,1700,1695,1699,1750,1700,1700,1650,1650,1695,1650,1650,1650,1600,1600,1550,1750,1995,1970,2000,2000,1995,1950,1950,2050,2100,2100,2150,2200,2200,2195,2200,2200,2200,2200,2295,2295,2300,2350,2395,2395,2395,2400,2400,2400,2400
"Texas",2,1225,1225,1250,1250,1250,1197.5,1200,1200,1237.5,1200,1200,1200,1175,1175,1200,1150,1175,1150,1095,1095,1050,1050,1073.5,1069.5,1175,1100,925,877,968.5,895,895,965,955,1000,995,945,950,975,932,950,995,1010,1011,1098,1220,1230,1245,1200,1200,1200,1200,1250,1250,1275,1275,1250,1250,1216,1195,1200,1250,1288,1350,1350,1349,1350,1324.5,1300,1304.5,1320,1330.5,1350,1369
"New York",3,,,,,,,,,,,,,2300,2600,2650,2700,2700,2800,2895,2850,2850,2650,2500,2400,2595,2500,2550,2627.5,2695,2700,2750,2775,2801,2800,2900,2895,2900,2890,2900,2900,2800,2700,2795,2800,2950,3000,3000,3050,3050,3000,3000,3025,3119,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3050,3100,3100,3095,3100,3041,3000,3000,3000,3000
"Florida",4,,1500,1500,1500,1500,1400,1400,1600,1500,1500,1500,1425,1450,1400,1400,1400,1400,1399,1400,1400,1400,1400,1400,1370,1400,1400,1399,1375,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1450,1500,1500,1500,1600,1600,1600,1600,1550,1500,1499,1525,1550,1590,1600,1600,1575,1550,1550,1595,1600,1600,1600,1700,1700,1750,1800,1750,1795,1800,1800,1800,1800
"Illinois",5,,1350,1350,1375,1397,1375,1357.5,1450,1475,1500,1525,1450,1450,1500,1536,1525,1550,1575,1575,1550,1550,1500,1500,1550,1550,1590,1500,1500,1550,1540,1555,1561,1595,1550,1550,1550,1550,1550,1542,1534.5,1545,1550,1552,1595,1600,1600,1600,1595,1585,1575,1575,1650,1650,1650,1650,1650,1650,1575,1650,1600,1600,1650,1625,1625,1650,1650,1650,1625,1600,1600,1600,1600,1650
"Pennsylvania",6,,1350,1295,1350,1400,1350,1450,1350,1450,1400,1325,1295,1250,1350,1400,1400,1375,1375,1375,1350,1295,1295,1300,1250,1300,1300,1350,1395,1350,1350,1300,1250,1200,1200,1160,1150,1200,1225,1275,1295,1250,1200,1150,1200,1300,1295,1295,1250,1250,1275,1300,1432.5,1450,1375,1325,1350,1350,1300,1300,1310,1350,1400,1495,1500,1487.5,1475,1450,1400,1385,1350,1350,1350,1350
"Georgia",7,1100,1100,1100,1150,1195,1125,1100,1100,1100,1100,1190,1150,1150,1100,1150,1100,1114.5,1100,1100,1100,1050,1050,1050,1015,1050,995,950,1000,1000,1000,1000,1000,1000,1007,1000,1000,1050,1095,1100,1050,1035,1000,985,1000,1050,1050,1050,1050,1050,1050,1095,1100,1095,1095,1100,1100,1100,1100,1090,1095,1095,1100,1150,1190,1200,1200,1195,1200,1200,1250,1200,1200,1200
"North Carolina",8,900,925,950,950,950,925,950,950,950,950,975,895,895,900,900,900,900,895,895,900,895,875,875,895,895,895,895,895,900,900,900,895,900,895,862.5,875,875,877.5,895,895,875,895,875,900,950,950,950,925,925,950,925,950,950,975,950,950,950,950,950,975,925,925,925,925,925,950,950,895,900,950,900,925,975
"New Jersey",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1600,1600,1700,1750,1750,1750,1750,1750,1750,1850,1850,1850,1800,1800,1790,1750,1750,1750,1800,1850,1850,1900,1900,1900,1877.5,1800,1795,1800,1812.5,1900,1900
"Virginia",10,1350,1395,1397.5,1395,1450,1500,1500,1500,1500,1500,1500,1450,1450,1450,1500,1550,1550,1550,1575,1500,1500,1500,1495,1475,1495,1500,1500,1550,1595,1600,1595,1550,1550,1550,1500,1500,1525,1550,1550,1550,1595,1550,1550,1595,1600,1600,1600,1600,1600,1600,1600,1650,1650,1695,1690,1650,1650,1650,1650,1650,1650,1650,1675,1695,1725,1700,1745,1700,1695,1650,1650,1650,1650
